date	ouv	haut	bas	clot	vol	devise	
04/03/2020 00:00	5.5	5.97	5.38	5.72	1070809	EUR	
05/03/2020 00:00	5.89	5.89	5.25	5.3	310977	EUR	
06/03/2020 00:00	5.35	5.48	5	5.48	151264	EUR	
09/03/2020 00:00	5.25	5.25	4.77	5.02	100566	EUR	
10/03/2020 00:00	5.05	5.48	5.05	5.1	45632	EUR	
11/03/2020 00:00	5.15	5.4	4.98	4.98	33788	EUR	
12/03/2020 00:00	4.84	4.845	4	4.2	68602	EUR	
13/03/2020 00:00	4.35	4.4	3.9	3.9	90091	EUR	
16/03/2020 00:00	3.995	3.995	3.01	3.45	62864	EUR	
17/03/2020 00:00	3.3	3.9	3.3	3.6	53861	EUR	
18/03/2020 00:00	3.5	4	3.42	3.8	51286	EUR	
19/03/2020 00:00	3.99	4	3.71	3.9	29686	EUR	
20/03/2020 00:00	4	4	3.95	4.15	89353	EUR	
23/03/2020 00:00	4.29	4.54	4.16	4.3	54111	EUR	
24/03/2020 00:00	4.49	4.8	4.35	4.7	79338	EUR	
25/03/2020 00:00	5.6	5.6	5	5.1	94396	EUR	
26/03/2020 00:00	5.4	5.4	4.905	4.905	44677	EUR	
27/03/2020 00:00	5.19	5.19	4.4	4.9	67268	EUR	
30/03/2020 00:00	5.09	5.09	4.48	4.5	71227	EUR	
31/03/2020 00:00	4.7	4.7	4.43	4.43	25080	EUR	
01/04/2020 00:00	4.43	4.575	4.35	4.4	24858	EUR	
02/04/2020 00:00	4.5	4.5	4.02	4.1	57154	EUR	
03/04/2020 00:00	4.12	4.39	4.12	4.39	23303	EUR	
06/04/2020 00:00	4.53	4.58	4.5	4.56	31378	EUR	
07/04/2020 00:00	4.63	4.67	4.57	4.6	11681	EUR	
08/04/2020 00:00	4.695	4.695	4.4	4.55	28177	EUR	
09/04/2020 00:00	4.63	4.92	4.555	4.755	22639	EUR	
14/04/2020 00:00	5.49	5.49	5.02	5.15	113396	EUR	
15/04/2020 00:00	5.34	5.4	5.08	5.26	59089	EUR	
16/04/2020 00:00	5.06	5.22	5.01	5.07	26125	EUR	
17/04/2020 00:00	5.12	5.2	5.09	5.15	27613	EUR	
20/04/2020 00:00	5.15	5.15	4.95	5.1	39623	EUR	
21/04/2020 00:00	5.15	5.15	5.07	5.08	10470	EUR	
22/04/2020 00:00	5.03	5.29	5.03	5.29	22293	EUR	
23/04/2020 00:00	5.24	5.38	5.16	5.38	25858	EUR	
24/04/2020 00:00	5.23	5.45	5.23	5.34	24257	EUR	
27/04/2020 00:00	5.44	5.44	5.27	5.27	18100	EUR	
28/04/2020 00:00	5.39	5.4	5	5.35	54181	EUR	
29/04/2020 00:00	5.15	5.3	5.15	5.26	28618	EUR	
30/04/2020 00:00	5.34	5.41	5.26	5.35	70606	EUR	
04/05/2020 00:00	5.39	5.39	5.3	5.3	26381	EUR	
05/05/2020 00:00	5.4	5.4	5.3	5.31	19137	EUR	
06/05/2020 00:00	5.26	5.3	5.26	5.26	8572	EUR	
07/05/2020 00:00	5.26	5.3	5.21	5.28	15073	EUR	
08/05/2020 00:00	5.21	5.29	5.21	5.23	8499	EUR	
11/05/2020 00:00	5.21	5.23	5.18	5.18	12355	EUR	
12/05/2020 00:00	5.18	5.24	5.07	5.07	13854	EUR	
13/05/2020 00:00	5.05	5.14	4.87	5.1	31406	EUR	
14/05/2020 00:00	5.12	5.12	4.92	4.92	25876	EUR	
15/05/2020 00:00	4.92	5.01	4.8	4.9	63909	EUR	
18/05/2020 00:00	4.87	4.965	4.87	4.93	38872	EUR	
19/05/2020 00:00	5	5	4.93	4.93	4634	EUR	
20/05/2020 00:00	4.93	5	4.91	4.91	4629	EUR	
21/05/2020 00:00	4.91	4.97	4.91	4.91	8005	EUR	
22/05/2020 00:00	4.91	5.24	4.91	5.24	49988	EUR	
25/05/2020 00:00	5.24	5.28	5.21	5.24	19790	EUR	
26/05/2020 00:00	5.4	5.43	5.16	5.17	55779	EUR	
27/05/2020 00:00	5.2	5.22	4.9	4.97	50982	EUR	
28/05/2020 00:00	5.03	5.15	4.97	5.03	43066	EUR	
29/05/2020 00:00	5	5.05	4.72	4.775	65179	EUR	
01/06/2020 00:00	4.885	4.885	4.56	4.715	79769	EUR	
02/06/2020 00:00	4.79	4.88	4.725	4.8	59608	EUR	
03/06/2020 00:00	4.83	4.84	4.55	4.575	83585	EUR	
04/06/2020 00:00	4.6	4.655	4.57	4.57	50337	EUR	
05/06/2020 00:00	4.62	4.7	4.58	4.6	46134	EUR	
08/06/2020 00:00	4.6	4.66	4.58	4.645	28554	EUR	
09/06/2020 00:00	4.68	4.68	4.56	4.565	31671	EUR	
10/06/2020 00:00	4.65	4.66	4.58	4.6	52088	EUR	
11/06/2020 00:00	4.565	4.6	4.5	4.525	57111	EUR	
12/06/2020 00:00	4.51	4.6	4.47	4.47	31867	EUR	
15/06/2020 00:00	4.425	4.535	4.4	4.5	19657	EUR	
16/06/2020 00:00	4.52	4.65	4.49	4.65	21753	EUR	
17/06/2020 00:00	4.66	4.7	4.605	4.7	29185	EUR	
18/06/2020 00:00	4.7	4.73	4.64	4.715	9118	EUR	
