date	ouv	haut	bas	clot	vol	devise	
09/11/2010 00:00	70.74	71.46	70.2	70.2	889	USD	
10/11/2010 00:00	70.02	70.2	69.12	69.3	1806	USD	
11/11/2010 00:00	68.76	69.12	68.58	69.12	461	USD	
12/11/2010 00:00	68.58	69.48	68.04	68.22	1000	USD	
16/11/2010 00:00	68.76	68.76	66.6	68.04	1172	USD	
17/11/2010 00:00	68.4	68.4	64.8	65.34	1828	USD	
18/11/2010 00:00	66.96	69.48	65.16	66.96	1672	USD	
19/11/2010 00:00	66.78	67.14	64.44	67.14	2133	USD	
22/11/2010 00:00	66.6	67.32	66.06	66.06	589	USD	
23/11/2010 00:00	65.7	66.78	64.98	65.34	922	USD	
24/11/2010 00:00	66.6	67.86	63.18	64.62	1422	USD	
26/11/2010 00:00	64.62	64.62	62.1	63.54	1550	USD	
29/11/2010 00:00	67.68	68.4	67.68	67.68	3372	USD	
30/11/2010 00:00	67.14	67.5	66.78	67.32	878	USD	
01/12/2010 00:00	66.24	68.04	65.7	66.24	583	USD	
02/12/2010 00:00	65.7	65.7	64.98	65.7	1206	USD	
03/12/2010 00:00	63.9	63.9	63	63.9	2306	USD	
06/12/2010 00:00	64.26	64.62	62.46	63.18	2406	USD	
07/12/2010 00:00	63.72	64.26	62.82	63.18	2244	USD	
08/12/2010 00:00	63	63.36	56.7	57.42	11083	USD	
09/12/2010 00:00	59.4	60.66	57.42	59.4	4044	USD	
10/12/2010 00:00	56.7	56.7	55.8	56.7	4378	USD	
13/12/2010 00:00	56.52	57.96	56.52	57.06	1544	USD	
14/12/2010 00:00	57.6	56.52	56.16	56.52	3178	USD	
15/12/2010 00:00	57.24	57.24	54.9	55.44	2356	USD	
16/12/2010 00:00	55.62	55.62	54	55.08	2022	USD	
17/12/2010 00:00	56.52	56.52	54.9	56.52	1783	USD	
20/12/2010 00:00	55.8	56.52	55.8	55.98	2402	USD	
21/12/2010 00:00	55.8	60.84	55.8	60.12	5981	USD	
22/12/2010 00:00	60.84	61.2	58.5	58.86	2201	USD	
23/12/2010 00:00	59.4	59.4	57.78	59.04	2303	USD	
27/12/2010 00:00	61.74	61.74	59.22	60.48	3155	USD	
28/12/2010 00:00	61.56	61.92	60.3	60.3	3272	USD	
29/12/2010 00:00	60.3	61.02	58.14	58.86	2851	USD	
30/12/2010 00:00	59.04	58.86	57.78	57.78	2676	USD	
31/12/2010 00:00	57.78	58.5	56.88	57.06	5549	USD	
03/01/2011 00:00	57.24	57.6	56.16	57.06	1966	USD	
04/01/2011 00:00	56.7	57.24	56.16	57.06	2215	USD	
05/01/2011 00:00	57.24	59.76	57.24	58.68	3658	USD	
06/01/2011 00:00	58.5	59.04	57.78	58.14	1232	USD	
07/01/2011 00:00	58.68	58.86	58.32	58.86	1589	USD	
10/01/2011 00:00	58.68	59.58	57.96	58.32	930	USD	
11/01/2011 00:00	59.22	59.4	58.68	58.86	2021	USD	
12/01/2011 00:00	58.86	59.4	58.68	59.04	1864	USD	
13/01/2011 00:00	59.04	59.76	58.68	59.04	1276	USD	
14/01/2011 00:00	59.4	59.4	58.5	58.68	1462	USD	
18/01/2011 00:00	59.22	59.22	57.78	57.78	2100	USD	
19/01/2011 00:00	59.04	59.58	58.14	59.22	2489	USD	
20/01/2011 00:00	59.04	59.4	57.96	58.14	3847	USD	
21/01/2011 00:00	58.32	58.86	57.96	57.96	1249	USD	
24/01/2011 00:00	58.5	58.5	57.06	58.14	5314	USD	
25/01/2011 00:00	58.14	58.14	55.8	55.98	1750	USD	
26/01/2011 00:00	56.34	56.88	56.16	56.7	642	USD	
27/01/2011 00:00	56.88	57.42	56.7	56.88	1308	USD	
28/01/2011 00:00	56.52	56.52	55.26	55.62	822	USD	
31/01/2011 00:00	56.16	57.24	55.26	56.88	1702	USD	
01/02/2011 00:00	56.7	56.52	55.62	56.16	764	USD	
02/02/2011 00:00	56.88	56.88	55.44	55.44	2022	USD	
03/02/2011 00:00	55.8	56.88	55.26	56.16	1755	USD	
04/02/2011 00:00	56.52	56.7	54.9	55.98	1319	USD	
07/02/2011 00:00	57.42	57.42	55.98	56.7	1188	USD	
08/02/2011 00:00	56.7	56.88	56.52	56.88	693	USD	
09/02/2011 00:00	56.88	57.6	56.52	56.52	2133	USD	
10/02/2011 00:00	56.16	57.42	55.98	57.06	1553	USD	
11/02/2011 00:00	56.88	57.42	56.34	56.52	578	USD	
14/02/2011 00:00	56.7	57.06	56.34	56.7	1267	USD	
15/02/2011 00:00	55.98	56.88	55.44	55.8	2153	USD	
16/02/2011 00:00	55.8	56.16	55.8	55.8	462	USD	
17/02/2011 00:00	55.8	56.52	55.8	56.16	350	USD	
18/02/2011 00:00	56.16	56.16	55.44	55.44	1307	USD	
22/02/2011 00:00	55.8	55.8	54	54.54	1466	USD	
23/02/2011 00:00	54.9	54.9	53.28	53.64	2506	USD	
24/02/2011 00:00	53.82	54.9	53.64	53.64	408	USD	
25/02/2011 00:00	53.46	54	53.28	53.82	809	USD	
28/02/2011 00:00	53.64	55.8	53.64	55.8	1402	USD	
01/03/2011 00:00	56.7	57.06	55.44	55.44	1847	USD	
02/03/2011 00:00	55.44	55.44	54.18	54.18	971	USD	
03/03/2011 00:00	55.44	55.44	53.1	53.64	1458	USD	
04/03/2011 00:00	57.06	57.06	53.28	53.82	403	USD	
07/03/2011 00:00	54.72	54.9	54	54	1340	USD	
08/03/2011 00:00	54.18	54.9	52.2	52.74	2121	USD	
09/03/2011 00:00	54	54	49.5	49.68	2655	USD	
10/03/2011 00:00	50.04	50.04	47.7	48.06	4344	USD	
11/03/2011 00:00	47.88	50.04	46.08	49.86	6683	USD	
14/03/2011 00:00	49.86	51.3	49.68	51.3	2120	USD	
15/03/2011 00:00	49.5	49.5	48.06	48.6	1270	USD	
16/03/2011 00:00	49.32	49.5	48.06	48.42	671	USD	
17/03/2011 00:00	48.96	50.04	48.96	49.14	1638	USD	
18/03/2011 00:00	49.5	50.76	49.5	50.04	809	USD	
21/03/2011 00:00	50.22	50.22	48.6	48.78	1194	USD	
22/03/2011 00:00	49.14	49.14	47.16	47.34	1509	USD	
23/03/2011 00:00	48.24	48.24	46.08	46.8	3105	USD	
24/03/2011 00:00	46.44	46.44	44.82	45.72	4926	USD	
25/03/2011 00:00	45.9	47.16	45	45.9	2101	USD	
28/03/2011 00:00	46.8	48.06	43.92	44.64	2107	USD	
29/03/2011 00:00	45.18	45.18	42.3	43.02	2679	USD	
30/03/2011 00:00	43.38	44.64	40.5	42.48	5062	USD	
31/03/2011 00:00	42.48	45.9	43.56	45.9	1800	USD	
01/04/2011 00:00	46.26	46.98	45.18	46.26	1440	USD	
04/04/2011 00:00	46.08	46.08	43.2	43.74	1636	USD	
05/04/2011 00:00	43.38	43.74	38.52	40.14	9432	USD	
06/04/2011 00:00	41.4	41.4	39.06	39.6	4134	USD	
07/04/2011 00:00	39.78	40.32	39.78	39.78	882	USD	
08/04/2011 00:00	40.68	40.86	39.06	39.42	3112	USD	
11/04/2011 00:00	39.06	39.06	37.44	37.62	1927	USD	
12/04/2011 00:00	37.44	38.88	37.44	37.62	2050	USD	
13/04/2011 00:00	37.44	38.52	37.44	37.98	1014	USD	
14/04/2011 00:00	37.8	38.7	37.8	37.98	966	USD	
15/04/2011 00:00	37.62	38.88	37.62	37.8	1451	USD	
18/04/2011 00:00	37.08	37.26	35.82	36.72	4994	USD	
19/04/2011 00:00	36.54	36.72	33.66	33.66	3615	USD	
20/04/2011 00:00	34.2	34.2	32.4	32.58	3119	USD	
21/04/2011 00:00	33.66	33.84	32.58	32.76	2794	USD	
25/04/2011 00:00	32.76	33.84	32.4	32.94	2252	USD	
26/04/2011 00:00	33.12	34.38	33.12	34.02	2226	USD	
27/04/2011 00:00	33.66	34.74	33.66	34.2	1141	USD	
28/04/2011 00:00	33.84	33.84	33.12	33.84	1031	USD	
29/04/2011 00:00	34.02	34.74	33.48	34.02	1644	USD	
02/05/2011 00:00	34.2	34.38	33.66	33.84	849	USD	
03/05/2011 00:00	39.6	57.42	37.26	37.8	414936	USD	
04/05/2011 00:00	37.8	39.06	34.74	35.28	52792	USD	
05/05/2011 00:00	35.46	36.54	34.2	34.56	21103	USD	
06/05/2011 00:00	35.1	35.46	34.02	34.2	10750	USD	
09/05/2011 00:00	34.38	34.56	33.3	33.84	12555	USD	
10/05/2011 00:00	33.66	34.38	33.3	34.38	10954	USD	
11/05/2011 00:00	34.56	35.64	33.3	33.3	12997	USD	
12/05/2011 00:00	33.48	34.2	32.94	33.84	12934	USD	
13/05/2011 00:00	34.38	51.84	33.66	45.18	314702	USD	
16/05/2011 00:00	47.52	54.54	45.54	51.12	421531	USD	
17/05/2011 00:00	50.4	50.94	40.68	42.3	133268	USD	
18/05/2011 00:00	41.58	45.36	40.32	40.86	106874	USD	
19/05/2011 00:00	40.68	40.68	37.8	39.24	39560	USD	
20/05/2011 00:00	39.24	42.66	38.52	40.14	47945	USD	
23/05/2011 00:00	41.04	41.04	36.9	37.62	31789	USD	
24/05/2011 00:00	38.7	39.96	38.34	39.96	29967	USD	
25/05/2011 00:00	39.96	41.58	38.34	38.7	29312	USD	
26/05/2011 00:00	41.04	41.94	39.78	39.96	30330	USD	
27/05/2011 00:00	39.96	39.96	37.62	38.34	19440	USD	
31/05/2011 00:00	38.16	38.16	36.36	37.62	16459	USD	
01/06/2011 00:00	38.34	38.34	34.74	35.1	17404	USD	
02/06/2011 00:00	36.18	36.18	33.3	35.28	23573	USD	
03/06/2011 00:00	34.92	37.62	34.2	36.18	17285	USD	
06/06/2011 00:00	35.46	35.46	34.38	34.38	11582	USD	
07/06/2011 00:00	34.38	35.28	34.2	34.56	10054	USD	
08/06/2011 00:00	34.56	34.92	32.94	32.94	14742	USD	
09/06/2011 00:00	32.76	35.64	32.76	33.66	7561	USD	
10/06/2011 00:00	32.94	33.3	32.58	32.58	8057	USD	
13/06/2011 00:00	32.4	32.76	31.14	31.32	12900	USD	
14/06/2011 00:00	31.68	31.68	30.6	30.78	7215	USD	
15/06/2011 00:00	30.6	31.86	29.52	30.42	7198	USD	
16/06/2011 00:00	30.24	30.42	27.36	28.8	8157	USD	
17/06/2011 00:00	28.8	29.34	26.1	28.98	13207	USD	
20/06/2011 00:00	28.8	28.8	25.38	27.36	7355	USD	
21/06/2011 00:00	27.36	27.72	26.28	27.54	3209	USD	
22/06/2011 00:00	27.36	28.08	27	27.18	5716	USD	
23/06/2011 00:00	27	27.72	26.28	27.18	7582	USD	
24/06/2011 00:00	27	29.34	27	27	3741	USD	
27/06/2011 00:00	27.18	30.42	27	29.7	10903	USD	
28/06/2011 00:00	30.6	30.6	28.62	29.34	5005	USD	
29/06/2011 00:00	29.34	30.06	28.62	28.8	3165	USD	
30/06/2011 00:00	28.8	29.7	28.8	28.98	1738	USD	
01/07/2011 00:00	29.34	29.34	27.72	28.44	1612	USD	
05/07/2011 00:00	28.8	28.8	27.54	27.72	1573	USD	
06/07/2011 00:00	27.54	28.62	27.18	27.72	2203	USD	
07/07/2011 00:00	28.08	28.62	27.9	28.26	2232	USD	
08/07/2011 00:00	27.9	28.62	27.9	28.44	3577	USD	
11/07/2011 00:00	28.26	29.7	27.36	27.54	4467	USD	
12/07/2011 00:00	27.72	28.62	27.72	27.72	1472	USD	
13/07/2011 00:00	27.72	28.44	27.72	28.26	6624	USD	
14/07/2011 00:00	28.26	28.26	27.54	27.72	2896	USD	
15/07/2011 00:00	27.54	27.9	27	27.9	875	USD	
18/07/2011 00:00	27.9	30.06	27	28.44	13491	USD	
19/07/2011 00:00	28.8	29.34	28.8	28.98	4908	USD	
20/07/2011 00:00	29.16	29.16	28.62	28.98	2075	USD	
21/07/2011 00:00	28.98	29.16	28.26	28.44	2997	USD	
22/07/2011 00:00	28.8	28.8	27.72	28.26	1757	USD	
25/07/2011 00:00	28.08	28.08	27	27.36	3449	USD	
26/07/2011 00:00	27.18	28.08	27.18	27.9	3115	USD	
27/07/2011 00:00	27	27.36	26.1	26.28	6073	USD	
28/07/2011 00:00	26.1	27.18	26.1	26.46	1977	USD	
29/07/2011 00:00	26.28	26.46	26.1	26.28	2088	USD	
01/08/2011 00:00	26.64	28.26	26.64	26.64	3467	USD	
02/08/2011 00:00	26.64	27.18	25.56	25.56	4141	USD	
03/08/2011 00:00	25.74	25.92	23.04	23.4	8648	USD	
04/08/2011 00:00	23.22	23.76	20.16	20.16	8707	USD	
05/08/2011 00:00	20.34	21.42	18.54	20.88	5337	USD	
08/08/2011 00:00	20.52	20.88	18.72	19.44	3577	USD	
09/08/2011 00:00	19.62	19.62	18	18.18	6088	USD	
10/08/2011 00:00	18.18	19.44	18.18	18.36	4797	USD	
11/08/2011 00:00	18.36	19.26	18.18	19.26	4896	USD	
12/08/2011 00:00	19.26	20.88	19.26	20.7	3127	USD	
15/08/2011 00:00	21.06	22.14	20.88	21.96	2624	USD	
16/08/2011 00:00	21.06	21.6	20.7	21.42	2279	USD	
17/08/2011 00:00	21.6	22.5	20.88	20.88	970	USD	
18/08/2011 00:00	20.7	20.7	19.26	20.16	2687	USD	
19/08/2011 00:00	20.16	21.6	19.98	21.6	1121	USD	
22/08/2011 00:00	21.78	21.6	20.16	20.16	2119	USD	
23/08/2011 00:00	20.34	21.78	20.16	21.42	1601	USD	
24/08/2011 00:00	21.24	21.78	19.62	21.42	2716	USD	
25/08/2011 00:00	21.24	21.6	20.52	20.52	713	USD	
26/08/2011 00:00	20.7	20.88	19.8	20.88	1144	USD	
29/08/2011 00:00	21.06	21.06	20.52	20.88	1611	USD	
30/08/2011 00:00	20.52	20.88	20.34	20.52	774	USD	
31/08/2011 00:00	20.52	20.52	19.26	19.26	3808	USD	
01/09/2011 00:00	19.62	20.7	19.62	20.34	1305	USD	
06/09/2011 00:00	20.16	20.34	19.8	19.8	1597	USD	
07/09/2011 00:00	20.16	21.42	20.16	21.24	3277	USD	
08/09/2011 00:00	21.06	22.14	21.06	22.14	1785	USD	
09/09/2011 00:00	22.14	22.5	20.88	22.14	1874	USD	
12/09/2011 00:00	21.6	23.04	21.06	22.5	1961	USD	
13/09/2011 00:00	22.32	24.66	22.14	24.66	1963	USD	
14/09/2011 00:00	24.66	26.82	24.66	26.28	5039	USD	
15/09/2011 00:00	26.46	26.82	23.58	25.2	4282	USD	
16/09/2011 00:00	25.38	25.56	22.86	22.86	6608	USD	
19/09/2011 00:00	23.04	23.58	22.5	23.22	1220	USD	
20/09/2011 00:00	22.86	23.76	22.86	23.76	1752	USD	
21/09/2011 00:00	23.76	23.76	21.6	22.86	1417	USD	
22/09/2011 00:00	22.14	23.58	21.6	22.14	1519	USD	
23/09/2011 00:00	21.06	22.5	20.88	21.42	472	USD	
26/09/2011 00:00	21.78	22.32	20.52	21.06	1095	USD	
27/09/2011 00:00	21.42	23.58	21.6	21.6	2372	USD	
28/09/2011 00:00	22.32	22.32	21.42	22.14	504	USD	
29/09/2011 00:00	22.14	22.5	20.7	20.7	1997	USD	
30/09/2011 00:00	20.88	20.88	19.8	20.16	1516	USD	
03/10/2011 00:00	18.72	19.44	18.72	19.26	904	USD	
04/10/2011 00:00	18.9	20.16	18.18	20.16	2241	USD	
05/10/2011 00:00	19.62	19.62	19.26	19.44	397	USD	
06/10/2011 00:00	19.44	20.88	19.44	20.7	1353	USD	
07/10/2011 00:00	21.24	21.24	20.7	20.7	394	USD	
10/10/2011 00:00	21.6	21.78	20.52	20.88	500	USD	
11/10/2011 00:00	20.88	21.42	20.7	21.42	112	USD	
12/10/2011 00:00	21.42	22.32	21.06	22.32	763	USD	
13/10/2011 00:00	21.96	21.96	20.7	21.24	1550	USD	
14/10/2011 00:00	21.24	22.32	21.24	21.78	196	USD	
17/10/2011 00:00	21.42	21.42	19.98	20.52	423	USD	
18/10/2011 00:00	20.52	20.88	19.98	20.88	221	USD	
19/10/2011 00:00	20.16	20.88	19.98	19.98	752	USD	
20/10/2011 00:00	20.52	21.24	21.06	21.06	551	USD	
21/10/2011 00:00	20.7	22.5	19.98	22.14	2277	USD	
24/10/2011 00:00	22.32	22.32	21.96	22.14	789	USD	
25/10/2011 00:00	22.32	22.32	21.78	22.32	1008	USD	
26/10/2011 00:00	22.5	22.5	21.6	21.6	1152	USD	
27/10/2011 00:00	22.5	22.68	21.78	21.78	2992	USD	
28/10/2011 00:00	21.96	21.42	20.88	20.88	269	USD	
31/10/2011 00:00	20.7	20.7	20.16	20.52	276	USD	
01/11/2011 00:00	20.16	20.34	19.98	19.98	442	USD	
02/11/2011 00:00	20.7	21.42	20.7	21.42	1125	USD	
03/11/2011 00:00	21.24	21.78	19.98	21.78	1865	USD	
04/11/2011 00:00	21.78	22.32	20.52	20.88	683	USD	
07/11/2011 00:00	20.88	21.42	20.52	20.52	817	USD	
08/11/2011 00:00	20.7	22.14	21.42	21.42	1290	USD	
09/11/2011 00:00	21.24	21.42	21.24	21.24	1478	USD	
10/11/2011 00:00	20.7	20.88	19.98	20.7	578	USD	
11/11/2011 00:00	21.24	21.6	19.98	20.7	431	USD	
14/11/2011 00:00	21.24	21.78	19.98	20.88	1664	USD	
15/11/2011 00:00	20.88	21.6	19.98	21.42	610	USD	
16/11/2011 00:00	20.16	44.1	19.98	30.78	218881	USD	
17/11/2011 00:00	30.42	31.68	23.58	25.2	39796	USD	
18/11/2011 00:00	25.38	26.64	23.4	23.4	15954	USD	
21/11/2011 00:00	23.22	25.56	23.22	25.56	17596	USD	
22/11/2011 00:00	25.56	25.92	23.22	23.22	5444	USD	
23/11/2011 00:00	23.76	23.76	21.6	22.32	6931	USD	
25/11/2011 00:00	22.5	23.4	21.6	22.86	2460	USD	
28/11/2011 00:00	23.4	25.2	23.4	24.12	5166	USD	
29/11/2011 00:00	23.76	24.03	23.76	24.03	1800	USD	
30/11/2011 00:00	23.76	26.82	23.76	24.84	19110	USD	
01/12/2011 00:00	24.84	25.2	24.3	24.3	5371	USD	
02/12/2011 00:00	24.66	24.84	24.3	24.66	3835	USD	
05/12/2011 00:00	25.02	25.74	24.12	24.3	3257	USD	
06/12/2011 00:00	24.66	24.84	24.12	24.12	2456	USD	
07/12/2011 00:00	24.48	24.66	23.94	24.3	3123	USD	
08/12/2011 00:00	24.12	24.3	23.58	23.58	1856	USD	
09/12/2011 00:00	23.58	24.84	23.58	24.48	5556	USD	
12/12/2011 00:00	24.12	24.84	24.12	24.84	1710	USD	
13/12/2011 00:00	25.2	25.2	24.48	25.02	2225	USD	
14/12/2011 00:00	25.38	25.38	23.94	24.3	1447	USD	
15/12/2011 00:00	24.66	24.84	24.12	24.84	2030	USD	
16/12/2011 00:00	24.66	24.66	23.94	23.94	1025	USD	
19/12/2011 00:00	24.12	24.12	22.86	23.94	2841	USD	
20/12/2011 00:00	24.66	24.66	23.58	24.12	1567	USD	
21/12/2011 00:00	24.12	24.12	24.12	24.12	646	USD	
22/12/2011 00:00	18	18.9	17.46	18.36	46813	USD	
23/12/2011 00:00	18.72	18.72	17.82	18.18	25501	USD	
27/12/2011 00:00	17.82	18.09	17.82	17.824	6369	USD	
28/12/2011 00:00	18.18	18.18	17.46	17.901	3876	USD	
29/12/2011 00:00	17.406	18	17.1	17.82	2273	USD	
30/12/2011 00:00	18.36	19.62	17.82	17.82	23171	USD	
03/01/2012 00:00	17.982	18.18	17.46	18	3960	USD	
05/01/2012 00:00	17.82	17.82	17.658	17.694	1980	USD	
06/01/2012 00:00	17.676	18.36	17.64	18.36	1978	USD	
09/01/2012 00:00	18.36	18.36	18.18	18.18	2208	USD	
10/01/2012 00:00	18.72	18.72	18	18	4425	USD	
11/01/2012 00:00	18	18	18	18	3159	USD	
12/01/2012 00:00	18.36	18.54	18.36	18.54	3695	USD	
13/01/2012 00:00	19.08	19.08	18.18	18.36	4636	USD	
17/01/2012 00:00	18.18	18.18	18.18	18.18	3572	USD	
18/01/2012 00:00	18.18	18.18	18	18	2528	USD	
19/01/2012 00:00	18.36	18.9	18.18	18.36	10381	USD	
20/01/2012 00:00	18.36	18.72	18.36	18.36	7924	USD	
23/01/2012 00:00	18.54	19.98	18.18	18.54	58660	USD	
24/01/2012 00:00	18.36	18.54	18	18.18	13404	USD	
25/01/2012 00:00	18.36	19.98	18.18	18.54	46918	USD	
26/01/2012 00:00	18.54	18.9	18.54	18.72	5939	USD	
27/01/2012 00:00	18.9	18.9	18.18	18.36	20633	USD	
30/01/2012 00:00	18	18.18	17.676	17.824	23599	USD	
31/01/2012 00:00	18.18	18.18	17.82	17.908	14973	USD	
01/02/2012 00:00	17.856	18	17.696	17.926	11921	USD	
02/02/2012 00:00	17.73	18.36	17.658	18.36	18573	USD	
03/02/2012 00:00	18.18	18.36	17.84	17.84	19472	USD	
06/02/2012 00:00	18.36	19.44	18	18.36	24143	USD	
07/02/2012 00:00	18.36	19.08	18.36	18.54	15374	USD	
09/02/2012 00:00	18.54	18.9	18.54	18.9	4739	USD	
10/02/2012 00:00	18.54	18.54	18	18	11278	USD	
13/02/2012 00:00	18.18	18.72	18	18.36	6035	USD	
14/02/2012 00:00	18.72	18.72	18	18.18	4394	USD	
15/02/2012 00:00	18.36	18.36	18.18	18.18	3894	USD	
16/02/2012 00:00	18.54	18.54	18	18	3644	USD	
17/02/2012 00:00	18.18	18.18	17.822	18.18	5130	USD	
21/02/2012 00:00	18	18	17.64	17.64	3294	USD	
22/02/2012 00:00	18	18	17.685	17.685	1343	USD	
23/02/2012 00:00	17.82	18.36	17.82	18.36	4193	USD	
24/02/2012 00:00	18.18	18.36	18	18	2550	USD	
27/02/2012 00:00	18	18.54	18	18.18	3896	USD	
28/02/2012 00:00	18.36	18.36	18	18.18	2735	USD	
29/02/2012 00:00	18	18	17.64	17.64	2420	USD	
01/03/2012 00:00	18.18	18.18	17.64	18	4316	USD	
02/03/2012 00:00	18	18	17.28	17.28	7051	USD	
05/03/2012 00:00	17.1	17.235	16.92	17.1	5711	USD	
06/03/2012 00:00	16.74	16.74	16.011	16.56	8927	USD	
07/03/2012 00:00	16.74	16.56	16.02	16.38	2087	USD	
08/03/2012 00:00	16.38	16.92	16.378	16.92	4374	USD	
09/03/2012 00:00	16.922	17.64	17.102	17.102	5432	USD	
12/03/2012 00:00	17.46	17.28	16.74	17.28	566	USD	
13/03/2012 00:00	17.1	17.298	16.83	17.28	3473	USD	
14/03/2012 00:00	16.92	17.01	16.74	16.83	4906	USD	
15/03/2012 00:00	16.56	17.1	16.2	16.74	1291	USD	
16/03/2012 00:00	16.92	16.92	16.74	16.74	408	USD	
19/03/2012 00:00	16.601	16.92	16.38	16.38	810	USD	
20/03/2012 00:00	17.1	17.64	17.1	17.46	7336	USD	
21/03/2012 00:00	17.28	17.28	17.1	17.28	1367	USD	
22/03/2012 00:00	17.1	17.1	16.2	16.38	2908	USD	
23/03/2012 00:00	16.56	16.92	16.56	16.92	567	USD	
26/03/2012 00:00	17.64	20.7	16.56	16.92	57210	USD	
27/03/2012 00:00	16.565	16.569	16.202	16.38	6767	USD	
28/03/2012 00:00	16.202	16.56	16.2	16.2	2472	USD	
29/03/2012 00:00	16.2	16.2	15.842	15.842	2352	USD	
30/03/2012 00:00	15.842	16.38	15.842	16.38	2643	USD	
02/04/2012 00:00	16.2	16.74	16.02	16.38	989	USD	
04/04/2012 00:00	16.02	16.11	14.782	15.84	5110	USD	
05/04/2012 00:00	15.84	15.84	15.48	15.66	916	USD	
09/04/2012 00:00	15.412	15.412	12.78	13.5	5447	USD	
10/04/2012 00:00	13.68	13.68	12.69	12.96	3362	USD	
11/04/2012 00:00	12.602	13.824	12.602	12.78	2302	USD	
12/04/2012 00:00	12.78	13.824	12.78	13.608	517	USD	
13/04/2012 00:00	13.414	13.414	12.636	12.731	2123	USD	
16/04/2012 00:00	12.78	12.78	12.78	12.78	100	USD	
17/04/2012 00:00	12.96	12.96	11.79	12.958	2881	USD	
18/04/2012 00:00	13.14	13.14	12.42	12.42	857	USD	
19/04/2012 00:00	12.24	12.96	12.24	12.6	1321	USD	
20/04/2012 00:00	13.5	13.5	12.78	12.78	1304	USD	
23/04/2012 00:00	12.42	13.167	12.24	12.42	2692	USD	
24/04/2012 00:00	12.87	12.87	12.42	12.6	839	USD	
25/04/2012 00:00	12.6	12.78	12.42	12.78	1803	USD	
26/04/2012 00:00	12.78	13.14	12.96	12.96	2528	USD	
27/04/2012 00:00	13.14	13.5	11.52	12.15	2933	USD	
30/04/2012 00:00	12.6	12.6	12.24	12.6	689	USD	
01/05/2012 00:00	12.42	12.564	11.88	12.06	3314	USD	
02/05/2012 00:00	11.88	12.06	11.7	12.06	1418	USD	
03/05/2012 00:00	11.88	11.52	10.44	10.8	1881	USD	
04/05/2012 00:00	10.62	11.124	10.01	10.01	3133	USD	
07/05/2012 00:00	10.008	10.98	9.18	9.54	2761	USD	
08/05/2012 00:00	9.45	9.684	9.027	9.36	3179	USD	
09/05/2012 00:00	9	9.306	7.2	8.64	9103	USD	
10/05/2012 00:00	8.1	9	8.1	8.676	2108	USD	
11/05/2012 00:00	7.92	9.36	7.92	9.36	2290	USD	
14/05/2012 00:00	9.36	9.367	9	9.18	3608	USD	
15/05/2012 00:00	8.696	8.696	8.1	8.28	4248	USD	
16/05/2012 00:00	8.458	7.922	7.38	7.38	2454	USD	
17/05/2012 00:00	7.38	7.56	7.292	7.474	1521	USD	
18/05/2012 00:00	7.2	8.1	7.2	7.92	679	USD	
21/05/2012 00:00	7.56	7.74	7.382	7.74	333	USD	
22/05/2012 00:00	8.1	8.1	7.382	7.92	1592	USD	
23/05/2012 00:00	8.46	8.46	7.537	7.794	797	USD	
24/05/2012 00:00	7.74	12.24	7.74	9.9	19172	USD	
25/05/2012 00:00	11.338	14.904	11.338	12.42	63707	USD	
29/05/2012 00:00	12.6	13.14	11.34	11.34	11652	USD	
30/05/2012 00:00	11.16	11.831	9.99	10.804	6759	USD	
31/05/2012 00:00	10.802	10.627	8.46	8.46	10097	USD	
01/06/2012 00:00	8.464	9.535	8.464	9.018	5426	USD	
04/06/2012 00:00	9.18	9.18	8.192	8.674	2858	USD	
05/06/2012 00:00	8.478	8.674	7.92	7.92	7198	USD	
06/06/2012 00:00	8.104	8.676	8.104	8.676	1029	USD	
07/06/2012 00:00	8.28	8.64	8.28	8.46	981	USD	
08/06/2012 00:00	7.92	9.342	7.92	8.46	8552	USD	
11/06/2012 00:00	8.334	9.144	8.334	9	2110	USD	
12/06/2012 00:00	9.178	9.18	8.64	9	2604	USD	
13/06/2012 00:00	9.54	9.54	8.82	9	1253	USD	
14/06/2012 00:00	9	9.36	8.82	9.36	3497	USD	
15/06/2012 00:00	9.54	9.54	9.085	9.09	567	USD	
18/06/2012 00:00	9	9.36	9	9.36	1982	USD	
19/06/2012 00:00	9.36	9.432	9.002	9.002	2268	USD	
20/06/2012 00:00	9.002	9.18	9.002	9.178	2767	USD	
21/06/2012 00:00	9.36	9.36	9	9.31	3856	USD	
22/06/2012 00:00	9	9	8.82	9	4088	USD	
25/06/2012 00:00	8.64	8.662	8.316	8.46	1811	USD	
26/06/2012 00:00	9.18	9.18	8.188	8.188	1719	USD	
27/06/2012 00:00	8.064	8.064	8.064	8.064	4597	USD	
28/06/2012 00:00	8.12	8.64	8.1	8.64	443	USD	
29/06/2012 00:00	9	9	8.991	8.991	1526	USD	
02/07/2012 00:00	8.82	8.82	7.999	7.999	653	USD	
03/07/2012 00:00	8.102	8.388	8.01	8.01	690	USD	
05/07/2012 00:00	8.64	8.64	8.46	8.64	799	USD	
06/07/2012 00:00	9	9	8.46	8.64	1354	USD	
09/07/2012 00:00	8.613	8.613	8.1	8.1	1430	USD	
10/07/2012 00:00	9.18	9.18	8.215	8.289	675	USD	
11/07/2012 00:00	8.327	8.327	8.327	8.327	296	USD	
12/07/2012 00:00	8.28	8.28	8.28	8.28	756	USD	
