date	ouv	haut	bas	clot	vol	devise	
26/06/2015 00:00	22.3	22.38	20.57	21	73816	EUR	
29/06/2015 00:00	19.5	20.88	18.12	20.7	31756	EUR	
30/06/2015 00:00	20.45	20.7	20.01	20.3	4855	EUR	
01/07/2015 00:00	20.78	20.85	20.28	20.35	28530	EUR	
02/07/2015 00:00	20.69	20.69	20.18	20.2	2502	EUR	
03/07/2015 00:00	20.04	20.14	19.51	19.61	4542	EUR	
06/07/2015 00:00	19.5	20.14	19.5	19.77	4781	EUR	
07/07/2015 00:00	19.61	19.95	19.2	19.2	16743	EUR	
08/07/2015 00:00	19.04	19.49	18.5	19.39	3239	EUR	
09/07/2015 00:00	18.91	19.69	18.9	19.18	1945	EUR	
10/07/2015 00:00	19.01	19.5	18.99	19.21	3342	EUR	
13/07/2015 00:00	19.2	19.2	18.75	19	2684	EUR	
14/07/2015 00:00	18.8	18.9	18.25	18.88	4959	EUR	
15/07/2015 00:00	18.8	20.59	18.7	20.4	19117	EUR	
16/07/2015 00:00	20.5	20.8	19.85	20	3421	EUR	
17/07/2015 00:00	20.1	20.1	19.5	20	8727	EUR	
20/07/2015 00:00	20.34	20.34	19.5	19.75	2430	EUR	
21/07/2015 00:00	19.65	19.94	19.06	19.93	3222	EUR	
22/07/2015 00:00	19.92	20.11	19.81	20	537	EUR	
23/07/2015 00:00	20.1	20.1	19.81	20	508	EUR	
24/07/2015 00:00	20.1	20.1	19.75	19.93	1060	EUR	
27/07/2015 00:00	19.85	19.85	19.45	19.54	1653	EUR	
28/07/2015 00:00	19.53	19.53	19.16	19.5	4253	EUR	
29/07/2015 00:00	19.2	19.78	19.2	19.47	1987	EUR	
30/07/2015 00:00	19.69	20	19.6	19.94	2033	EUR	
31/07/2015 00:00	20	20	19.75	20	1410	EUR	
03/08/2015 00:00	20.25	20.25	19.65	20	2318	EUR	
04/08/2015 00:00	19.95	20	19.69	20	1839	EUR	
05/08/2015 00:00	20	20.35	19.55	20	4318	EUR	
06/08/2015 00:00	20.1	20.3	19.99	20.1	1591	EUR	
07/08/2015 00:00	20.04	20.32	19.7	20.09	3311	EUR	
10/08/2015 00:00	20.25	21.44	20.15	20.5	10147	EUR	
11/08/2015 00:00	20.69	20.75	19.95	20.05	8958	EUR	
12/08/2015 00:00	20.05	20.05	19.15	19.53	3278	EUR	
13/08/2015 00:00	19.53	20.2	19.42	19.99	2433	EUR	
14/08/2015 00:00	19.99	20	19.75	20	713	EUR	
17/08/2015 00:00	19.99	20.1	19.4	19.89	1206	EUR	
18/08/2015 00:00	19.99	20.19	19.8	20	3272	EUR	
19/08/2015 00:00	19.98	19.98	19.5	19.9	2687	EUR	
20/08/2015 00:00	19.9	20.16	19	19.9	5804	EUR	
21/08/2015 00:00	19.6	20.1	19.55	19.83	13823	EUR	
24/08/2015 00:00	19.58	19.58	17.75	18.69	6537	EUR	
25/08/2015 00:00	18.95	19.94	18.79	19.29	4186	EUR	
26/08/2015 00:00	19.1	19.39	19	19.38	751	EUR	
27/08/2015 00:00	19.38	19.96	19.24	19.9	2873	EUR	
28/08/2015 00:00	19.05	19.78	19.05	19.78	1140	EUR	
31/08/2015 00:00	19.8	19.97	19.28	19.97	4652	EUR	
01/09/2015 00:00	20.2	20.2	19.37	19.95	3103	EUR	
02/09/2015 00:00	19.94	19.94	19.65	19.75	1795	EUR	
03/09/2015 00:00	19.79	19.79	19.49	19.76	896	EUR	
04/09/2015 00:00	19.78	19.79	19.15	19.2	2321	EUR	
07/09/2015 00:00	19.6	19.8	19	19.23	1068	EUR	
08/09/2015 00:00	19	19.8	18.65	19.42	2641	EUR	
09/09/2015 00:00	19.38	19.42	18.5	19.42	872	EUR	
10/09/2015 00:00	19.45	19.75	18.93	19.75	492	EUR	
11/09/2015 00:00	19.74	19.74	19.29	19.65	573	EUR	
14/09/2015 00:00	19.65	19.65	19.07	19.6	529	EUR	
15/09/2015 00:00	19.65	19.65	19.16	19.6	512	EUR	
16/09/2015 00:00	19.19	19.59	19.19	19.58	784	EUR	
17/09/2015 00:00	19.58	19.58	18.97	19.3	254	EUR	
18/09/2015 00:00	19.19	19.3	18.85	19.3	1089	EUR	
21/09/2015 00:00	19.3	19.3	18.75	19.1	932	EUR	
22/09/2015 00:00	19.3	19.5	19.15	19.5	886	EUR	
23/09/2015 00:00	19.39	19.75	19.3	19.75	613	EUR	
24/09/2015 00:00	19.34	19.73	19.3	19.63	1102	EUR	
25/09/2015 00:00	19.7	19.95	19.5	19.95	1120	EUR	
28/09/2015 00:00	19.95	20	18.6	19.23	2010	EUR	
29/09/2015 00:00	18.5	18.98	18	18.93	1145	EUR	
30/09/2015 00:00	18.88	19.24	18.34	19.24	261	EUR	
01/10/2015 00:00	19.23	19.24	18.46	19.23	1023	EUR	
02/10/2015 00:00	19.22	19.23	18.39	19.23	271	EUR	
05/10/2015 00:00	19.24	19.24	18.86	19	610	EUR	
06/10/2015 00:00	18.67	19	18.67	19	244	EUR	
07/10/2015 00:00	18.99	19.24	18.85	19.23	1075	EUR	
08/10/2015 00:00	19.23	19.24	18.62	19.2	1753	EUR	
09/10/2015 00:00	19.19	19.19	18.9	19.1	681	EUR	
12/10/2015 00:00	19.1	19.15	19	19.03	944	EUR	
13/10/2015 00:00	19.03	19.09	19	19	1050	EUR	
14/10/2015 00:00	18.99	19	18.9	19	927	EUR	
15/10/2015 00:00	18.99	18.99	18.65	18.99	492	EUR	
16/10/2015 00:00	18.99	18.99	18.21	18.55	1580	EUR	
19/10/2015 00:00	18.55	18.65	18.34	18.61	1062	EUR	
20/10/2015 00:00	18.11	18.6	18.08	18.55	1008	EUR	
21/10/2015 00:00	18.55	18.62	18.18	18.49	586	EUR	
22/10/2015 00:00	18.49	18.62	18.03	18.16	1095	EUR	
23/10/2015 00:00	18.04	18.19	17.9	17.9	2165	EUR	
26/10/2015 00:00	17.9	18.19	17.54	17.97	622	EUR	
27/10/2015 00:00	17.8	18.05	17.67	18.05	719	EUR	
28/10/2015 00:00	18.04	18.04	17.75	17.97	132	EUR	
29/10/2015 00:00	17.89	17.89	17.74	17.88	159	EUR	
30/10/2015 00:00	17.73	17.9	17.54	17.85	1071	EUR	
02/11/2015 00:00	17.84	17.84	17.31	17.67	1584	EUR	
03/11/2015 00:00	17.49	17.76	17.1	17.3	2077	EUR	
04/11/2015 00:00	17.06	17.29	16.65	16.85	2217	EUR	
05/11/2015 00:00	16.83	16.83	15.7	16	2273	EUR	
06/11/2015 00:00	15.61	15.62	14.9	15.15	5056	EUR	
09/11/2015 00:00	14.85	15.1	14.63	14.64	5597	EUR	
10/11/2015 00:00	14.99	15.15	14.33	14.92	860	EUR	
11/11/2015 00:00	14.9	14.9	14.6	14.69	322	EUR	
12/11/2015 00:00	14.65	14.65	13.24	14.44	6621	EUR	
13/11/2015 00:00	14.44	15.5	13.78	15.5	7105	EUR	
16/11/2015 00:00	15.85	15.85	15.79	15.84	1382	EUR	
17/11/2015 00:00	15.9	16.14	15.5	16.13	1065	EUR	
18/11/2015 00:00	16.13	16.5	15.62	16.3	1875	EUR	
19/11/2015 00:00	16.5	16.5	15.54	16.12	1668	EUR	
20/11/2015 00:00	16.43	16.43	15.83	16.34	1102	EUR	
23/11/2015 00:00	16.44	16.53	16.03	16.53	748	EUR	
24/11/2015 00:00	16.75	17.1	16.11	17	391	EUR	
25/11/2015 00:00	17	17	16.29	16.49	2290	EUR	
26/11/2015 00:00	16.49	16.52	15.95	15.95	3722	EUR	
27/11/2015 00:00	16.2	16.78	15.95	16.56	2566	EUR	
30/11/2015 00:00	16.8	16.8	15.99	16	5731	EUR	
01/12/2015 00:00	16	16	15.93	16	2035	EUR	
02/12/2015 00:00	15.33	16	15.29	15.8	1080	EUR	
03/12/2015 00:00	15.79	15.97	15.18	15.97	1077	EUR	
04/12/2015 00:00	15.97	15.97	15.3	15.95	1285	EUR	
07/12/2015 00:00	15.74	15.94	15.31	15.5	514	EUR	
08/12/2015 00:00	15.35	15.49	15.3	15.49	583	EUR	
09/12/2015 00:00	15.5	15.5	15.1	15.1	2674	EUR	
10/12/2015 00:00	15.43	15.43	15.03	15.22	622	EUR	
11/12/2015 00:00	15.22	15.24	14.67	15.09	1583	EUR	
14/12/2015 00:00	15.25	15.25	14.53	14.53	667	EUR	
15/12/2015 00:00	14.5	14.5	14.45	14.5	233	EUR	
16/12/2015 00:00	14.5	14.5	14.2	14.5	784	EUR	
17/12/2015 00:00	14.5	14.5	14.11	14.5	702	EUR	
18/12/2015 00:00	14.44	14.45	14.38	14.45	202	EUR	
21/12/2015 00:00	14.01	14.21	13.83	14.05	3773	EUR	
22/12/2015 00:00	14.49	14.49	13.93	13.93	985	EUR	
23/12/2015 00:00	13.72	14.15	13.65	13.93	2058	EUR	
24/12/2015 00:00	14.1	14.1	13.6	14	1363	EUR	
28/12/2015 00:00	13.98	14.55	13.98	14.35	1704	EUR	
29/12/2015 00:00	14	14.39	13.9	14.23	1169	EUR	
30/12/2015 00:00	14.19	14.2	13.99	14.15	752	EUR	
31/12/2015 00:00	14.15	14.15	13.5	14.15	2633	EUR	
04/01/2016 00:00	13.68	14.14	13.66	14.13	548	EUR	
05/01/2016 00:00	14.13	14.15	13.79	14.15	810	EUR	
06/01/2016 00:00	14.14	14.44	14	14.44	1701	EUR	
07/01/2016 00:00	14.19	14.3	13.95	14.24	1554	EUR	
08/01/2016 00:00	14.23	14.23	13.75	14.12	638	EUR	
11/01/2016 00:00	14.12	14.12	13.79	14.12	421	EUR	
12/01/2016 00:00	15.2	16.87	15.1	15.5	34455	EUR	
13/01/2016 00:00	15.49	16.49	14.5	15.17	8283	EUR	
14/01/2016 00:00	15	15.03	13.62	14.43	12670	EUR	
15/01/2016 00:00	14.6	14.6	13.71	13.79	1566	EUR	
18/01/2016 00:00	13.6	13.68	13.01	13.34	2012	EUR	
19/01/2016 00:00	13.2	13.79	13.2	13.3	1610	EUR	
20/01/2016 00:00	13.28	13.28	13	13.28	10672	EUR	
21/01/2016 00:00	13.28	14.2	13.1	14.18	3173	EUR	
22/01/2016 00:00	14.19	15.5	14.19	14.9	4996	EUR	
25/01/2016 00:00	15.22	15.62	14.91	15.62	3662	EUR	
26/01/2016 00:00	15.62	15.62	15.2	15.4	1572	EUR	
27/01/2016 00:00	14.7	16	14.7	16	6722	EUR	
28/01/2016 00:00	15.99	16	15.6	15.99	1229	EUR	
29/01/2016 00:00	15.99	16.2	15.99	16.2	1290	EUR	
01/02/2016 00:00	16.4	18.03	16.34	16.91	13083	EUR	
02/02/2016 00:00	17.6	17.6	17.03	17.37	4021	EUR	
03/02/2016 00:00	17.37	17.37	16.43	16.66	3261	EUR	
04/02/2016 00:00	16.67	16.67	15.71	16.01	2001	EUR	
05/02/2016 00:00	15.77	16.16	14.95	15.45	1814	EUR	
08/02/2016 00:00	15.4	15.41	14.47	14.9	3662	EUR	
09/02/2016 00:00	14.41	14.48	13.6	13.99	1700	EUR	
10/02/2016 00:00	13.41	14.33	13.4	13.77	3651	EUR	
11/02/2016 00:00	13.77	13.77	13.5	13.68	1451	EUR	
12/02/2016 00:00	13.6	13.67	13.37	13.38	712	EUR	
15/02/2016 00:00	13.35	13.72	13.35	13.67	1528	EUR	
16/02/2016 00:00	13.76	14.17	13.55	13.9	1169	EUR	
17/02/2016 00:00	13.5	14	13.5	13.98	1505	EUR	
18/02/2016 00:00	13.97	13.97	13.6	13.9	1293	EUR	
19/02/2016 00:00	13.9	13.98	13.36	13.6	1651	EUR	
22/02/2016 00:00	13.95	13.95	13.4	13.7	609	EUR	
23/02/2016 00:00	13.85	13.85	13.41	13.79	160	EUR	
24/02/2016 00:00	13.98	13.98	13.35	13.64	430	EUR	
25/02/2016 00:00	13.64	13.64	13.41	13.6	2046	EUR	
26/02/2016 00:00	13.65	14.46	13.51	13.62	3918	EUR	
29/02/2016 00:00	13.62	13.9	13.51	13.79	640	EUR	
01/03/2016 00:00	13.79	13.79	13.55	13.65	654	EUR	
02/03/2016 00:00	13.72	13.72	13.55	13.55	247	EUR	
03/03/2016 00:00	13.51	13.59	13.41	13.51	1360	EUR	
04/03/2016 00:00	13.73	13.73	13.46	13.69	520	EUR	
07/03/2016 00:00	13.9	13.9	13.8	13.88	1429	EUR	
08/03/2016 00:00	13.85	14.48	13.85	14	2623	EUR	
09/03/2016 00:00	13.9	14	13.31	13.75	3267	EUR	
10/03/2016 00:00	13.75	14.05	13.72	13.75	1801	EUR	
11/03/2016 00:00	13.9	13.9	13.61	13.9	366	EUR	
14/03/2016 00:00	13.9	14.25	13.6	14.01	2922	EUR	
15/03/2016 00:00	14.05	14.5	14.05	14.4	4434	EUR	
16/03/2016 00:00	14.4	14.61	13.5	14	6051	EUR	
17/03/2016 00:00	14	14	13.78	13.79	2133	EUR	
18/03/2016 00:00	13.35	13.99	13.35	13.9	1956	EUR	
21/03/2016 00:00	13.35	13.87	13.35	13.66	786	EUR	
22/03/2016 00:00	13.8	13.81	13.67	13.68	1596	EUR	
23/03/2016 00:00	13.75	13.75	13.39	13.5	473	EUR	
24/03/2016 00:00	13.7	13.7	13.5	13.5	267	EUR	
29/03/2016 00:00	13.64	13.64	13.57	13.57	589	EUR	
30/03/2016 00:00	13.35	13.64	13	13.28	2462	EUR	
31/03/2016 00:00	13.39	13.39	12.83	13.21	1505	EUR	
01/04/2016 00:00	13.29	13.29	12.57	13	602	EUR	
04/04/2016 00:00	12.43	12.99	12.43	12.5	1364	EUR	
05/04/2016 00:00	12.8	12.8	12.72	12.73	325	EUR	
06/04/2016 00:00	12.44	12.59	12.12	12.15	2687	EUR	
07/04/2016 00:00	12.5	12.59	12.2	12.59	2110	EUR	
08/04/2016 00:00	12.49	12.49	12.02	12.29	960	EUR	
11/04/2016 00:00	12.07	12.54	11.53	11.59	5351	EUR	
12/04/2016 00:00	11.7	11.82	11.7	11.7	587	EUR	
13/04/2016 00:00	11.73	11.75	11.53	11.6	1845	EUR	
14/04/2016 00:00	11.51	11.59	11.13	11.14	1164	EUR	
15/04/2016 00:00	11.45	11.45	10.7	11.03	5319	EUR	
18/04/2016 00:00	10.5	10.69	10.14	10.22	13299	EUR	
19/04/2016 00:00	10.22	10.75	10.11	10.21	21514	EUR	
20/04/2016 00:00	10.63	11.26	10.5	10.6	28311	EUR	
21/04/2016 00:00	10.72	10.99	10.6	10.6	6955	EUR	
22/04/2016 00:00	10.7	10.7	10.25	10.39	3520	EUR	
25/04/2016 00:00	10.49	10.8	10.31	10.61	6051	EUR	
26/04/2016 00:00	10.81	11	10.6	10.68	10960	EUR	
27/04/2016 00:00	10.75	10.86	10.12	10.49	10730	EUR	
28/04/2016 00:00	10.2	10.5	10.2	10.36	3819	EUR	
29/04/2016 00:00	10.2	10.49	10.17	10.48	2693	EUR	
02/05/2016 00:00	10.68	10.84	10.32	10.74	4324	EUR	
03/05/2016 00:00	10.74	10.76	10.5	10.5	1649	EUR	
04/05/2016 00:00	10.25	10.49	10.17	10.23	2070	EUR	
05/05/2016 00:00	10.25	10.54	10.17	10.4	1788	EUR	
06/05/2016 00:00	10.38	10.5	10.25	10.5	510	EUR	
09/05/2016 00:00	10.54	10.64	10.35	10.4	1495	EUR	
10/05/2016 00:00	10.65	10.65	10.5	10.59	1822	EUR	
11/05/2016 00:00	10.59	10.66	10.21	10.39	650	EUR	
12/05/2016 00:00	10.39	10.63	10.17	10.17	1434	EUR	
13/05/2016 00:00	10.5	10.5	10.1	10.15	1625	EUR	
16/05/2016 00:00	10.02	10.38	10.01	10.35	947	EUR	
17/05/2016 00:00	10.05	10.39	9.97	10	2611	EUR	
18/05/2016 00:00	10.01	10.19	9.95	9.95	930	EUR	
19/05/2016 00:00	9.9	10.19	9.9	10.06	1039	EUR	
20/05/2016 00:00	10.06	10.14	9.95	10	664	EUR	
23/05/2016 00:00	10.2	10.2	9.66	9.75	4097	EUR	
24/05/2016 00:00	9.65	9.94	9.65	9.94	1051	EUR	
25/05/2016 00:00	9.94	9.95	9.93	9.95	300	EUR	
26/05/2016 00:00	9.95	9.99	9.67	9.99	655	EUR	
27/05/2016 00:00	10	10.19	9.86	10.19	1132	EUR	
30/05/2016 00:00	10.2	10.24	10.02	10.15	582	EUR	
31/05/2016 00:00	10.25	10.58	10.24	10.26	4052	EUR	
01/06/2016 00:00	10.26	10.47	9.88	9.88	3312	EUR	
02/06/2016 00:00	9.88	10.09	9.72	9.72	285	EUR	
03/06/2016 00:00	9.98	9.98	9.96	9.96	11	EUR	
06/06/2016 00:00	10.33	10.44	10	10.13	1704	EUR	
07/06/2016 00:00	10.5	10.5	9.75	10.1	2541	EUR	
08/06/2016 00:00	10.1	10.3	9.86	10.25	409	EUR	
09/06/2016 00:00	10.25	10.25	9.82	9.82	1031	EUR	
10/06/2016 00:00	9.67	10.09	9.66	9.7	1411	EUR	
13/06/2016 00:00	9.86	9.86	8.85	8.85	4797	EUR	
14/06/2016 00:00	9.23	9.23	8.7	8.7	3079	EUR	
15/06/2016 00:00	8.9	8.93	8.82	8.9	332	EUR	
16/06/2016 00:00	9.02	9.02	8.6	8.75	1240	EUR	
17/06/2016 00:00	9.02	9.6	8.51	8.7	8007	EUR	
20/06/2016 00:00	7.06	7.17	5.85	6	49870	EUR	
21/06/2016 00:00	6.1	6.29	5.72	5.74	14015	EUR	
22/06/2016 00:00	5.86	5.87	5.57	5.57	7178	EUR	
23/06/2016 00:00	5.57	5.77	5.57	5.58	7417	EUR	
24/06/2016 00:00	4.9	5.07	4.3	4.76	36953	EUR	
27/06/2016 00:00	4.99	5.06	4.33	4.52	9060	EUR	
28/06/2016 00:00	4.54	4.71	4.4	4.5	7308	EUR	
29/06/2016 00:00	4.77	5	4.54	4.57	7371	EUR	
30/06/2016 00:00	4.76	4.76	4.51	4.59	13462	EUR	
01/07/2016 00:00	4.56	4.65	4.39	4.4	9168	EUR	
04/07/2016 00:00	4.42	4.45	4.31	4.34	3188	EUR	
05/07/2016 00:00	4.4	4.41	4.28	4.29	3335	EUR	
06/07/2016 00:00	4.4	4.5	4.29	4.33	4390	EUR	
07/07/2016 00:00	4.4	4.4	4.26	4.26	2671	EUR	
08/07/2016 00:00	4.4	4.4	4.16	4.16	3698	EUR	
11/07/2016 00:00	4.25	4.25	3.94	4.05	17628	EUR	
12/07/2016 00:00	4.1	4.1	3.9	3.93	9022	EUR	
13/07/2016 00:00	4.08	4.08	3.9	3.91	9623	EUR	
14/07/2016 00:00	4.08	4.24	4.05	4.05	3414	EUR	
15/07/2016 00:00	4.19	4.33	4.16	4.3	4907	EUR	
18/07/2016 00:00	4.33	4.53	4.32	4.32	6419	EUR	
19/07/2016 00:00	4.36	4.5	4.1	4.18	8792	EUR	
20/07/2016 00:00	4.13	4.3	4.13	4.24	340	EUR	
21/07/2016 00:00	4.25	4.25	4.12	4.12	2546	EUR	
22/07/2016 00:00	4.13	4.13	4.06	4.06	2162	EUR	
25/07/2016 00:00	4.06	4.21	4.06	4.13	2219	EUR	
26/07/2016 00:00	4.07	4.28	4.02	4.16	3364	EUR	
27/07/2016 00:00	4.15	4.28	4.15	4.21	947	EUR	
28/07/2016 00:00	4.21	4.3	4.11	4.19	2112	EUR	
29/07/2016 00:00	4.1	4.31	4.06	4.15	2787	EUR	
01/08/2016 00:00	4.17	4.31	4.17	4.23	3336	EUR	
02/08/2016 00:00	4.31	4.32	4.26	4.26	1246	EUR	
03/08/2016 00:00	4.3	4.38	4.14	4.14	5644	EUR	
04/08/2016 00:00	4.02	4.36	4.02	4.31	10007	EUR	
05/08/2016 00:00	4.43	4.43	4.26	4.39	3836	EUR	
08/08/2016 00:00	4.33	4.58	4.33	4.45	2956	EUR	
09/08/2016 00:00	4.45	4.68	4.36	4.36	11871	EUR	
10/08/2016 00:00	4.61	4.61	4.31	4.31	10037	EUR	
11/08/2016 00:00	4.32	4.38	4.23	4.23	2204	EUR	
12/08/2016 00:00	4.24	4.31	4.21	4.3	2813	EUR	
15/08/2016 00:00	4.35	4.39	4.21	4.21	4935	EUR	
16/08/2016 00:00	4.21	4.37	4.17	4.28	4760	EUR	
17/08/2016 00:00	4.28	4.3	4.28	4.3	502	EUR	
18/08/2016 00:00	4.3	4.3	4.2	4.2	1450	EUR	
19/08/2016 00:00	4.2	4.2	4.12	4.12	2784	EUR	
22/08/2016 00:00	4.07	4.16	4.07	4.08	3725	EUR	
23/08/2016 00:00	4.08	4.08	3.87	3.94	11860	EUR	
24/08/2016 00:00	3.95	4	3.87	3.98	11846	EUR	
25/08/2016 00:00	4	4	3.9	3.9	8393	EUR	
26/08/2016 00:00	3.91	4.05	3.91	4.02	2910	EUR	
29/08/2016 00:00	4	4.09	3.98	4.09	2011	EUR	
30/08/2016 00:00	4.1	4.16	3.98	4.15	6048	EUR	
31/08/2016 00:00	4.03	4.1	3.98	4	5675	EUR	
01/09/2016 00:00	4	4.08	3.95	3.95	3823	EUR	
02/09/2016 00:00	3.95	3.95	3.94	3.94	1475	EUR	
05/09/2016 00:00	3.95	4.1	3.94	3.95	2380	EUR	
06/09/2016 00:00	4	4.02	3.96	3.96	6779	EUR	
07/09/2016 00:00	3.96	4.01	3.94	3.94	8332	EUR	
08/09/2016 00:00	4.05	4.05	3.92	3.92	7506	EUR	
09/09/2016 00:00	3.92	4	3.92	3.97	5474	EUR	
12/09/2016 00:00	4	4.1	3.92	4	6437	EUR	
13/09/2016 00:00	4.02	4.04	3.9	3.91	4234	EUR	
14/09/2016 00:00	5.59	7.53	4.55	7.31	320337	EUR	
15/09/2016 00:00	7.9	11.75	7.57	8.99	572509	EUR	
16/09/2016 00:00	8.56	9.62	7.13	7.21	151140	EUR	
19/09/2016 00:00	7.35	10.6	7.12	9	339865	EUR	
20/09/2016 00:00	9.2	9.99	8.61	8.76	164705	EUR	
21/09/2016 00:00	8.74	9.45	8.1	8.88	77458	EUR	
22/09/2016 00:00	9.05	9.17	8.42	8.57	41257	EUR	
23/09/2016 00:00	8.26	8.54	7.45	7.45	58414	EUR	
26/09/2016 00:00	7.64	8.43	7.48	7.97	132173	EUR	
27/09/2016 00:00	7.99	8.5	7.7	7.75	61655	EUR	
28/09/2016 00:00	7.97	7.97	7.34	7.39	33457	EUR	
29/09/2016 00:00	7.41	7.69	7.22	7.57	46499	EUR	
30/09/2016 00:00	7.35	7.54	6.88	7.24	34189	EUR	
03/10/2016 00:00	7.2	7.3	6.85	7.18	30262	EUR	
04/10/2016 00:00	7.03	7.3	6.8	7.16	20545	EUR	
05/10/2016 00:00	7.09	7.09	6.87	6.87	14662	EUR	
06/10/2016 00:00	6.86	7.76	6.81	7.09	79241	EUR	
07/10/2016 00:00	7.01	7.17	6.8	6.87	24114	EUR	
10/10/2016 00:00	6.83	6.99	6.8	6.88	15011	EUR	
11/10/2016 00:00	6.84	7.3	6.81	7.01	13540	EUR	
12/10/2016 00:00	7.15	7.15	6.9	6.93	7981	EUR	
13/10/2016 00:00	7.09	7.09	6.81	6.84	9206	EUR	
14/10/2016 00:00	6.85	7	6.78	7	21149	EUR	
17/10/2016 00:00	6.99	6.99	6.81	6.99	3670	EUR	
18/10/2016 00:00	6.99	7.09	6.8	7.06	6996	EUR	
19/10/2016 00:00	7.05	7.05	6.91	6.95	2938	EUR	
20/10/2016 00:00	6.95	7.01	6.9	6.92	2862	EUR	
21/10/2016 00:00	7	7.2	6.82	7.17	29518	EUR	
24/10/2016 00:00	7.3	7.72	7.21	7.42	59945	EUR	
25/10/2016 00:00	7.53	8.15	7.46	7.63	91454	EUR	
26/10/2016 00:00	7.89	7.94	7.59	7.87	27377	EUR	
27/10/2016 00:00	7.91	8.17	7.58	7.58	46180	EUR	
28/10/2016 00:00	7.79	7.96	7.69	7.88	25170	EUR	
31/10/2016 00:00	7.87	7.87	7.1	7.28	28093	EUR	
01/11/2016 00:00	7.3	7.41	7.1	7.1	9135	EUR	
02/11/2016 00:00	7.2	7.24	7	7	4550	EUR	
03/11/2016 00:00	6.9	7.19	6.9	7.07	14836	EUR	
04/11/2016 00:00	6.98	7.05	6.8	6.95	14862	EUR	
07/11/2016 00:00	6.8	7	6.8	6.96	4591	EUR	
08/11/2016 00:00	7	7	6.79	6.79	5144	EUR	
09/11/2016 00:00	6.6	6.75	6.1	6.56	15600	EUR	
10/11/2016 00:00	6.52	6.8	6.43	6.55	12813	EUR	
11/11/2016 00:00	6.55	6.67	6.16	6.4	16404	EUR	
14/11/2016 00:00	6.3	6.44	6.15	6.27	17859	EUR	
15/11/2016 00:00	6.26	6.98	6.16	6.97	18153	EUR	
16/11/2016 00:00	7	7.03	6.72	6.8	10759	EUR	
17/11/2016 00:00	7.16	8.7	7.16	7.64	202234	EUR	
18/11/2016 00:00	7.89	8.13	7.65	7.78	41406	EUR	
21/11/2016 00:00	7.91	7.91	7.62	7.62	17905	EUR	
22/11/2016 00:00	7.6	7.64	7.02	7.1	20970	EUR	
23/11/2016 00:00	7.11	7.5	7.1	7.1	15640	EUR	
24/11/2016 00:00	7.12	7.22	7	7	11272	EUR	
25/11/2016 00:00	7.3	7.61	7.09	7.61	24296	EUR	
28/11/2016 00:00	7.8	8.1	7.32	7.6	42172	EUR	
29/11/2016 00:00	7.84	7.84	7.22	7.22	23732	EUR	
30/11/2016 00:00	7.14	7.28	7.01	7.04	18647	EUR	
01/12/2016 00:00	7.12	7.15	6.62	6.91	23189	EUR	
02/12/2016 00:00	7.04	7.04	6.63	6.96	12431	EUR	
05/12/2016 00:00	7.25	7.25	6.93	7.13	10336	EUR	
06/12/2016 00:00	6.93	7.14	6.93	7.09	6000	EUR	
07/12/2016 00:00	6.75	6.8	6.63	6.63	45547	EUR	
08/12/2016 00:00	6.7	6.8	6.64	6.7	8298	EUR	
09/12/2016 00:00	6.79	6.8	6.65	6.78	22010	EUR	
12/12/2016 00:00	6.8	6.99	6.69	6.84	22302	EUR	
13/12/2016 00:00	6.98	6.98	6.62	6.8	12950	EUR	
14/12/2016 00:00	6.8	6.8	6.64	6.64	8878	EUR	
15/12/2016 00:00	6.65	6.73	6.51	6.51	7237	EUR	
16/12/2016 00:00	6.49	6.49	6.39	6.4	11285	EUR	
19/12/2016 00:00	6.4	6.43	6.32	6.35	15810	EUR	
20/12/2016 00:00	6.34	6.35	6.28	6.33	18634	EUR	
21/12/2016 00:00	6.33	6.34	6.27	6.31	8396	EUR	
22/12/2016 00:00	6.22	6.39	6.2	6.35	10844	EUR	
23/12/2016 00:00	6.35	6.35	6.25	6.3	3735	EUR	
27/12/2016 00:00	6.29	6.29	6.15	6.15	15210	EUR	
28/12/2016 00:00	6.14	6.23	6.1	6.17	12178	EUR	
29/12/2016 00:00	6.15	6.32	6.15	6.28	11398	EUR	
30/12/2016 00:00	6.29	6.34	6.22	6.3	6465	EUR	
02/01/2017 00:00	6.25	6.33	6.25	6.3	6952	EUR	
03/01/2017 00:00	6.3	6.3	6.1	6.27	28747	EUR	
04/01/2017 00:00	6.29	6.34	6.21	6.34	10974	EUR	
05/01/2017 00:00	6.38	7	6.3	6.63	72091	EUR	
06/01/2017 00:00	6.73	6.83	6.61	6.7	34870	EUR	
09/01/2017 00:00	6.69	6.69	6.55	6.62	17927	EUR	
10/01/2017 00:00	6.79	6.89	6.43	6.5	61989	EUR	
11/01/2017 00:00	6.53	6.54	6.38	6.44	14446	EUR	
12/01/2017 00:00	6.43	6.43	6.2	6.24	22051	EUR	
13/01/2017 00:00	6.23	6.25	6.2	6.25	6959	EUR	
16/01/2017 00:00	6.29	6.29	6.22	6.27	6706	EUR	
17/01/2017 00:00	6.27	6.29	6.12	6.15	11545	EUR	
18/01/2017 00:00	6.15	6.18	5.93	5.95	22190	EUR	
19/01/2017 00:00	5.99	6.09	5.51	6.04	39740	EUR	
20/01/2017 00:00	5.97	6.04	5.9	5.99	8526	EUR	
