date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	3.773	3.773	3.773	3.773	1	EUR	
19/05/2015 00:00	3.763	3.763	3.763	3.763	1	EUR	
20/05/2015 00:00	3.773	3.773	3.773	3.773	147	EUR	
21/05/2015 00:00	3.681	3.763	3.681	3.763	293	EUR	
22/05/2015 00:00	3.773	3.773	3.681	3.681	1571	EUR	
25/05/2015 00:00	3.681	3.791	3.681	3.791	1472	EUR	
26/05/2015 00:00	3.791	3.791	3.791	3.791	1	EUR	
27/05/2015 00:00	3.662	3.662	3.644	3.644	1300	EUR	
28/05/2015 00:00	3.644	3.644	3.644	3.644	272	EUR	
29/05/2015 00:00	3.681	3.681	3.681	3.681	16	EUR	
01/06/2015 00:00	3.671	3.671	3.671	3.671	213	EUR	
02/06/2015 00:00	3.681	3.681	3.681	3.681	109	EUR	
03/06/2015 00:00	3.681	3.681	3.681	3.681	259	EUR	
04/06/2015 00:00	3.681	3.681	3.681	3.681	217	EUR	
05/06/2015 00:00	3.681	3.773	3.681	3.773	1088	EUR	
08/06/2015 00:00	3.681	3.681	3.681	3.681	435	EUR	
09/06/2015 00:00	3.681	3.681	3.681	3.681	109	EUR	
10/06/2015 00:00	3.681	3.681	3.681	3.681	109	EUR	
11/06/2015 00:00	3.589	3.589	3.589	3.589	640	EUR	
12/06/2015 00:00	3.589	3.589	3.589	3.589	352	EUR	
15/06/2015 00:00	3.589	3.589	3.589	3.589	218	EUR	
16/06/2015 00:00	3.671	3.671	3.671	3.671	174	EUR	
17/06/2015 00:00	3.662	3.671	3.662	3.671	2	EUR	
18/06/2015 00:00	3.662	3.662	3.662	3.662	1	EUR	
19/06/2015 00:00	3.662	3.662	3.662	3.662	1	EUR	
22/06/2015 00:00	3.671	3.671	3.671	3.671	54	EUR	
23/06/2015 00:00	3.671	3.671	3.671	3.671	109	EUR	
24/06/2015 00:00	3.589	3.589	3.589	3.589	62	EUR	
25/06/2015 00:00	3.671	3.671	3.589	3.589	647	EUR	
26/06/2015 00:00	3.671	3.681	3.671	3.681	1739	EUR	
29/06/2015 00:00	3.57	3.57	3.57	3.57	994	EUR	
30/06/2015 00:00	3.515	3.561	3.515	3.561	177	EUR	
01/07/2015 00:00	3.57	3.57	3.57	3.57	109	EUR	
02/07/2015 00:00	3.515	3.561	3.515	3.561	413	EUR	
03/07/2015 00:00	3.561	3.561	3.561	3.561	12	EUR	
06/07/2015 00:00	3.57	3.57	3.561	3.561	12	EUR	
07/07/2015 00:00	3.561	3.561	3.561	3.561	1	EUR	
08/07/2015 00:00	3.543	3.543	3.497	3.497	3431	EUR	
09/07/2015 00:00	3.497	3.497	3.497	3.497	337	EUR	
10/07/2015 00:00	3.497	3.497	3.497	3.497	109	EUR	
13/07/2015 00:00	3.497	3.497	3.497	3.497	489	EUR	
14/07/2015 00:00	3.497	3.497	3.497	3.497	109	EUR	
15/07/2015 00:00	3.487	3.487	3.405	3.405	3848	EUR	
16/07/2015 00:00	3.478	3.478	3.405	3.405	393	EUR	
17/07/2015 00:00	3.395	3.395	3.395	3.395	1	EUR	
20/07/2015 00:00	3.395	3.395	3.331	3.395	110	EUR	
21/07/2015 00:00	3.395	3.395	3.34	3.34	163	EUR	
22/07/2015 00:00	3.478	3.478	3.469	3.469	64	EUR	
23/07/2015 00:00	3.441	3.441	3.359	3.359	330	EUR	
24/07/2015 00:00	3.359	3.441	3.359	3.441	45	EUR	
27/07/2015 00:00	3.432	3.432	3.432	3.432	12	EUR	
28/07/2015 00:00	3.414	3.414	3.414	3.414	1	EUR	
29/07/2015 00:00	3.359	3.359	3.349	3.349	82	EUR	
30/07/2015 00:00	3.359	3.441	3.349	3.349	116	EUR	
31/07/2015 00:00	3.359	3.414	3.276	3.414	2956	EUR	
03/08/2015 00:00	3.405	3.414	3.405	3.414	4	EUR	
04/08/2015 00:00	3.405	3.405	3.405	3.405	1	EUR	
05/08/2015 00:00	3.405	3.405	3.064	3.22	5122	EUR	
06/08/2015 00:00	3.267	3.267	3.267	3.267	246	EUR	
07/08/2015 00:00	3.267	3.267	3.147	3.147	233	EUR	
10/08/2015 00:00	3.128	3.128	2.926	3.11	1518	EUR	
11/08/2015 00:00	2.935	3.046	2.935	3.046	990	EUR	
12/08/2015 00:00	3.073	3.073	3.073	3.073	14	EUR	
13/08/2015 00:00	3.036	3.128	2.954	3.128	3251	EUR	
14/08/2015 00:00	3.128	3.22	3.128	3.22	653	EUR	
17/08/2015 00:00	3.211	3.211	3	3	110	EUR	
18/08/2015 00:00	3.128	3.128	3.082	3.082	110	EUR	
19/08/2015 00:00	3.082	3.082	3.082	3.082	1	EUR	
20/08/2015 00:00	3.036	3.119	3.036	3.119	34	EUR	
21/08/2015 00:00	3.11	3.128	3.11	3.128	1088	EUR	
25/08/2015 00:00	3.128	3.128	3.128	3.128	1	EUR	
26/08/2015 00:00	3.128	3.128	3.128	3.128	0	EUR	
28/08/2015 00:00	3.128	3.128	3.128	3.128	99	EUR	
31/08/2015 00:00	3.138	3.138	3.128	3.128	602	EUR	
01/09/2015 00:00	3.128	3.128	3.128	3.128	11	EUR	
02/09/2015 00:00	3.036	3.119	3.036	3.119	380	EUR	
03/09/2015 00:00	3.119	3.119	3.119	3.119	1	EUR	
04/09/2015 00:00	3.119	3.119	3.119	3.119	1	EUR	
07/09/2015 00:00	3.119	3.119	3.119	3.119	1	EUR	
08/09/2015 00:00	3.064	3.064	3.064	3.064	391	EUR	
09/09/2015 00:00	3.119	3.119	3.119	3.119	118	EUR	
10/09/2015 00:00	3.119	3.119	3.119	3.119	1	EUR	
11/09/2015 00:00	3.119	3.119	3.119	3.119	1	EUR	
14/09/2015 00:00	3.119	3.119	3.082	3.082	241	EUR	
15/09/2015 00:00	3.092	3.092	3.092	3.092	1	EUR	
16/09/2015 00:00	3.092	3.092	2.926	3.064	1242	EUR	
17/09/2015 00:00	2.963	3.064	2.76	2.917	1757	EUR	
18/09/2015 00:00	2.788	2.889	2.76	2.889	392	EUR	
21/09/2015 00:00	2.889	2.889	2.779	2.843	676	EUR	
22/09/2015 00:00	2.834	2.834	2.705	2.705	997	EUR	
23/09/2015 00:00	2.816	2.816	2.816	2.816	43	EUR	
24/09/2015 00:00	2.834	2.834	2.742	2.751	480	EUR	
25/09/2015 00:00	2.705	2.705	2.705	2.705	255	EUR	
28/09/2015 00:00	2.944	2.944	2.852	2.852	1924	EUR	
29/09/2015 00:00	2.944	2.944	2.944	2.944	1092	EUR	
30/09/2015 00:00	2.935	3.128	2.935	3.128	2542	EUR	
01/10/2015 00:00	3.22	3.22	3.22	3.22	1326	EUR	
02/10/2015 00:00	3.22	3.22	3.22	3.22	554	EUR	
05/10/2015 00:00	3.22	3.22	3.22	3.22	554	EUR	
06/10/2015 00:00	3.257	3.257	3.22	3.22	1087	EUR	
