date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.19	0.2	0.19	0.2	43100	EUR	
19/05/2015 00:00	0.19	0.2	0.19	0.19	59094	EUR	
20/05/2015 00:00	0.19	0.2	0.19	0.2	2273	EUR	
21/05/2015 00:00	0.19	0.21	0.19	0.2	666295	EUR	
22/05/2015 00:00	0.2	0.21	0.2	0.2	505600	EUR	
25/05/2015 00:00	0.2	0.2	0.2	0.2	31200	EUR	
26/05/2015 00:00	0.21	0.21	0.2	0.2	98066	EUR	
27/05/2015 00:00	0.2	0.21	0.2	0.2	101067	EUR	
28/05/2015 00:00	0.2	0.21	0.2	0.2	53163	EUR	
29/05/2015 00:00	0.2	0.2	0.19	0.2	520391	EUR	
01/06/2015 00:00	0.2	0.2	0.19	0.2	103560	EUR	
02/06/2015 00:00	0.19	0.2	0.19	0.19	48266	EUR	
03/06/2015 00:00	0.2	0.2	0.2	0.2	3100	EUR	
04/06/2015 00:00	0.19	0.2	0.19	0.19	236128	EUR	
05/06/2015 00:00	0.2	0.2	0.19	0.2	7084	EUR	
08/06/2015 00:00	0.19	0.19	0.19	0.19	653959	EUR	
09/06/2015 00:00	0.19	0.19	0.18	0.19	26250	EUR	
10/06/2015 00:00	0.18	0.2	0.18	0.2	583230	EUR	
11/06/2015 00:00	0.2	0.2	0.19	0.19	31111	EUR	
12/06/2015 00:00	0.19	0.19	0.18	0.19	629196	EUR	
15/06/2015 00:00	0.19	0.19	0.18	0.18	71550	EUR	
16/06/2015 00:00	0.19	0.19	0.18	0.19	45614	EUR	
17/06/2015 00:00	0.19	0.19	0.18	0.19	9300	EUR	
18/06/2015 00:00	0.18	0.19	0.18	0.18	189206	EUR	
19/06/2015 00:00	0.18	0.19	0.18	0.18	83115	EUR	
22/06/2015 00:00	0.19	0.19	0.18	0.19	41200	EUR	
23/06/2015 00:00	0.18	0.19	0.18	0.19	5364	EUR	
24/06/2015 00:00	0.18	0.19	0.18	0.18	17147	EUR	
25/06/2015 00:00	0.18	0.18	0.18	0.18	90	EUR	
26/06/2015 00:00	0.19	0.19	0.18	0.19	59747	EUR	
29/06/2015 00:00	0.19	0.19	0.18	0.18	32509	EUR	
30/06/2015 00:00	0.18	0.18	0.18	0.18	235651	EUR	
01/07/2015 00:00	0.18	0.19	0.18	0.19	48195	EUR	
02/07/2015 00:00	0.18	0.19	0.18	0.18	838431	EUR	
03/07/2015 00:00	0.18	0.18	0.17	0.18	187056	EUR	
06/07/2015 00:00	0.18	0.18	0.17	0.18	159625	EUR	
07/07/2015 00:00	0.17	0.18	0.17	0.17	49627	EUR	
08/07/2015 00:00	0.18	0.18	0.17	0.18	189712	EUR	
09/07/2015 00:00	0.18	0.18	0.17	0.18	103315	EUR	
10/07/2015 00:00	0.17	0.18	0.14	0.16	2462705	EUR	
13/07/2015 00:00	0.16	0.16	0.15	0.15	213254	EUR	
14/07/2015 00:00	0.16	0.16	0.15	0.16	27984	EUR	
15/07/2015 00:00	0.16	0.16	0.16	0.16	136073	EUR	
16/07/2015 00:00	0.16	0.16	0.15	0.16	113343	EUR	
17/07/2015 00:00	0.15	0.16	0.15	0.15	309222	EUR	
20/07/2015 00:00	0.16	0.17	0.16	0.16	448008	EUR	
21/07/2015 00:00	0.16	0.16	0.16	0.16	152041	EUR	
22/07/2015 00:00	0.16	0.17	0.16	0.16	38076	EUR	
23/07/2015 00:00	0.17	0.17	0.16	0.16	77180	EUR	
24/07/2015 00:00	0.17	0.17	0.16	0.16	26611	EUR	
27/07/2015 00:00	0.17	0.17	0.16	0.16	193033	EUR	
28/07/2015 00:00	0.16	0.17	0.16	0.17	209383	EUR	
29/07/2015 00:00	0.17	0.17	0.16	0.16	49600	EUR	
30/07/2015 00:00	0.16	0.17	0.16	0.17	53348	EUR	
31/07/2015 00:00	0.17	0.19	0.16	0.17	1638906	EUR	
03/08/2015 00:00	0.18	0.18	0.17	0.17	43119	EUR	
04/08/2015 00:00	0.17	0.17	0.16	0.17	166220	EUR	
05/08/2015 00:00	0.16	0.17	0.16	0.16	95584	EUR	
06/08/2015 00:00	0.17	0.17	0.17	0.17	2000	EUR	
07/08/2015 00:00	0.16	0.17	0.16	0.16	14355	EUR	
10/08/2015 00:00	0.17	0.18	0.16	0.17	280617	EUR	
11/08/2015 00:00	0.16	0.18	0.16	0.17	1417001	EUR	
12/08/2015 00:00	0.17	0.17	0.16	0.16	89097	EUR	
13/08/2015 00:00	0.16	0.17	0.16	0.17	123319	EUR	
14/08/2015 00:00	0.17	0.17	0.16	0.17	82181	EUR	
17/08/2015 00:00	0.16	0.17	0.16	0.16	24405	EUR	
18/08/2015 00:00	0.16	0.17	0.16	0.17	119796	EUR	
19/08/2015 00:00	0.17	0.17	0.16	0.16	75894	EUR	
20/08/2015 00:00	0.17	0.17	0.16	0.17	50811	EUR	
21/08/2015 00:00	0.16	0.17	0.16	0.16	40130	EUR	
24/08/2015 00:00	0.16	0.17	0.16	0.17	789206	EUR	
25/08/2015 00:00	0.16	0.17	0.16	0.17	219735	EUR	
26/08/2015 00:00	0.16	0.17	0.16	0.16	35446	EUR	
27/08/2015 00:00	0.17	0.17	0.16	0.16	726671	EUR	
28/08/2015 00:00	0.16	0.16	0.15	0.16	311641	EUR	
31/08/2015 00:00	0.15	0.16	0.15	0.16	32006	EUR	
01/09/2015 00:00	0.15	0.16	0.15	0.16	607558	EUR	
02/09/2015 00:00	0.16	0.16	0.15	0.16	294936	EUR	
03/09/2015 00:00	0.16	0.16	0.15	0.15	28340	EUR	
04/09/2015 00:00	0.16	0.16	0.15	0.16	17350	EUR	
07/09/2015 00:00	0.16	0.16	0.15	0.16	75844	EUR	
08/09/2015 00:00	0.16	0.16	0.16	0.16	11000	EUR	
09/09/2015 00:00	0.16	0.16	0.15	0.15	83692	EUR	
10/09/2015 00:00	0.16	0.16	0.15	0.15	117689	EUR	
11/09/2015 00:00	0.15	0.16	0.14	0.15	236872	EUR	
14/09/2015 00:00	0.15	0.15	0.15	0.15	32833	EUR	
15/09/2015 00:00	0.15	0.15	0.14	0.15	71000	EUR	
16/09/2015 00:00	0.15	0.15	0.14	0.15	74828	EUR	
17/09/2015 00:00	0.15	0.15	0.14	0.15	83925	EUR	
18/09/2015 00:00	0.15	0.15	0.14	0.14	4847	EUR	
21/09/2015 00:00	0.15	0.15	0.14	0.15	39028	EUR	
22/09/2015 00:00	0.15	0.15	0.14	0.14	156421	EUR	
23/09/2015 00:00	0.14	0.14	0.14	0.14	56090	EUR	
24/09/2015 00:00	0.14	0.15	0.14	0.14	35321	EUR	
25/09/2015 00:00	0.15	0.15	0.14	0.14	342470	EUR	
28/09/2015 00:00	0.15	0.16	0.15	0.15	204149	EUR	
29/09/2015 00:00	0.14	0.15	0.14	0.15	51270	EUR	
30/09/2015 00:00	0.16	0.16	0.15	0.15	64359	EUR	
01/10/2015 00:00	0.15	0.16	0.15	0.15	25515	EUR	
02/10/2015 00:00	0.15	0.16	0.15	0.16	34485	EUR	
05/10/2015 00:00	0.15	0.16	0.15	0.15	20782	EUR	
06/10/2015 00:00	0.15	0.16	0.15	0.15	71186	EUR	
07/10/2015 00:00	0.16	0.16	0.15	0.15	48668	EUR	
08/10/2015 00:00	0.15	0.16	0.15	0.16	13655	EUR	
09/10/2015 00:00	0.15	0.16	0.15	0.16	399288	EUR	
12/10/2015 00:00	0.16	0.17	0.15	0.16	833525	EUR	
13/10/2015 00:00	0.15	0.16	0.15	0.16	49506	EUR	
14/10/2015 00:00	0.16	0.16	0.15	0.15	40375	EUR	
15/10/2015 00:00	0.15	0.17	0.15	0.16	151834	EUR	
16/10/2015 00:00	0.16	0.17	0.16	0.16	129125	EUR	
19/10/2015 00:00	0.17	0.17	0.17	0.17	10	EUR	
20/10/2015 00:00	0.16	0.17	0.16	0.17	27110	EUR	
21/10/2015 00:00	0.16	0.17	0.16	0.16	17700	EUR	
22/10/2015 00:00	0.17	0.17	0.16	0.16	70500	EUR	
23/10/2015 00:00	0.16	0.17	0.16	0.16	146448	EUR	
26/10/2015 00:00	0.16	0.16	0.16	0.16	187653	EUR	
27/10/2015 00:00	0.16	0.16	0.16	0.16	76205	EUR	
28/10/2015 00:00	0.16	0.16	0.16	0.16	51124	EUR	
